epoch,target_epochs,seconds,categorical_accuracy,loss,val_categorical_accuracy,val_loss
363.0,3000.0,109.0,0.7785,0.5784,0.7788,0.5749
364.0,3000.0,110.0,0.7755,0.5866,0.7726,0.6011
365.0,3000.0,109.0,0.7807,0.5717,0.7816,0.5728
366.0,3000.0,109.0,0.7781,0.5803,0.7872,0.5552
367.0,3000.0,110.0,0.7808,0.5704,0.7815,0.5712
368.0,3000.0,109.0,0.7781,0.5802,0.7797,0.5721
369.0,3000.0,109.0,0.777,0.5829,0.7799,0.5757
370.0,3000.0,109.0,0.773,0.5945,0.7718,0.5968
371.0,3000.0,109.0,0.7744,0.5896,0.7514,0.6476
372.0,3000.0,109.0,0.7781,0.5794,0.7745,0.591
373.0,3000.0,110.0,0.7774,0.5811,0.7773,0.5889
374.0,3000.0,110.0,0.7775,0.5813,0.7795,0.5749
375.0,3000.0,109.0,0.7757,0.5864,0.7764,0.5907
376.0,3000.0,110.0,0.7784,0.5777,0.7806,0.5701
377.0,3000.0,109.0,0.7769,0.582,0.7748,0.5913
378.0,3000.0,110.0,0.7796,0.5754,0.7793,0.5702
379.0,3000.0,109.0,0.7752,0.5876,0.7765,0.5903
380.0,3000.0,110.0,0.7825,0.5663,0.7766,0.5885
381.0,3000.0,111.0,0.7775,0.5803,0.7833,0.5687
382.0,3000.0,279.0,0.7803,0.5733,0.7804,0.569
383.0,3000.0,113.0,0.7788,0.5771,0.7791,0.5816
384.0,3000.0,113.0,0.7772,0.5804,0.7767,0.5823
385.0,3000.0,112.0,0.7803,0.5711,0.7835,0.5642
386.0,3000.0,113.0,0.779,0.5755,0.7794,0.5689
387.0,3000.0,112.0,0.783,0.5643,0.7869,0.5525
388.0,3000.0,111.0,0.7765,0.5832,0.7858,0.5562
389.0,3000.0,112.0,0.7802,0.5722,0.7885,0.5535
390.0,3000.0,113.0,0.7816,0.5675,0.7745,0.5917
391.0,3000.0,112.0,0.7787,0.5769,0.746,0.6517
392.0,3000.0,117.0,0.7777,0.5799,0.7839,0.5673
393.0,3000.0,110.0,0.7725,0.5951,0.7672,0.5995
394.0,3000.0,110.0,0.7804,0.5718,0.7703,0.5919
395.0,3000.0,111.0,0.7778,0.5795,0.7828,0.5713
396.0,3000.0,115.0,0.7774,0.5807,0.7811,0.5737
397.0,3000.0,112.0,0.7779,0.5784,0.7815,0.5664
398.0,3000.0,117.0,0.7824,0.5657,0.7803,0.5701
399.0,3000.0,110.0,0.7803,0.5711,0.7767,0.5762
400.0,3000.0,108.0,0.7805,0.5705,0.781,0.5671
401.0,3000.0,108.0,0.7827,0.5636,0.7811,0.5671
402.0,3000.0,109.0,0.7795,0.5736,0.7818,0.5643
403.0,3000.0,108.0,0.7822,0.5661,0.7795,0.5741
404.0,3000.0,109.0,0.7766,0.5821,0.7801,0.5762
405.0,3000.0,110.0,0.7798,0.5733,0.7813,0.5685
406.0,3000.0,110.0,0.7802,0.5723,0.7795,0.5802
407.0,3000.0,109.0,0.7833,0.562,0.7803,0.5812
408.0,3000.0,109.0,0.7788,0.5756,0.7934,0.5399
409.0,3000.0,109.0,0.7809,0.569,0.777,0.58
410.0,3000.0,109.0,0.7796,0.5731,0.7746,0.5966
411.0,3000.0,108.0,0.78,0.5721,0.7788,0.5833
412.0,3000.0,109.0,0.7791,0.5748,0.7811,0.5698
413.0,3000.0,108.0,0.7808,0.5692,0.7792,0.5768
414.0,3000.0,109.0,0.7857,0.5557,0.7873,0.5481
415.0,3000.0,109.0,0.7751,0.5869,0.7739,0.592
416.0,3000.0,110.0,0.7835,0.5615,0.7832,0.5621
417.0,3000.0,109.0,0.7844,0.5584,0.7847,0.5629
418.0,3000.0,109.0,0.7821,0.5654,0.7854,0.5632
419.0,3000.0,108.0,0.7783,0.5775,0.7826,0.5692
420.0,3000.0,111.0,0.7855,0.5553,0.7913,0.5486
